Serie,Diameter,Locatie nr,Uniek.nummer,x,y,Opnamenr.,Jaar,In,Opname,Uit,Dagen,Tijd,Totaal dagen uit,Geslacht,Leeftijdsfase,Opmerkingen,Camera,Totaal aantal opnames,Seizoen
48,10,25,M18.41,203964,449554,4,2018,14/08/2018,29/08/2018,15/09/2018,15,21:43,32,?,juv,,Scout guard Black IR,,summer
48,10,25,M18.41,203964,449554,5,2018,14/08/2018,13/09/2018,15/09/2018,30,06:02,32,man,adult,,Scout guard Black IR,,summer
49,8,26,M18.42,204101,449915,1,2018,01/06/2018,10/06/2018,17/06/2018,9,09:24,16,?,adult,,Browning Strike Force,2,spring
Dieren,8,26,M18.43,204101,449915,,2018,15/09/2018,geen,05/10/2018,,,20,,,,Reconyx Ultrafire,,autumn
Dieren,8,27,M18.44,204168,449786,,2018,05/06/2018,geen,27/06/2018,,,22,,,,Reconyx Ultrafire,,summer
Dieren,10,29,M18.45,204077,449743,,2018,14/06/2018,geen,27/06/2018,,,13,,,,,,summer
50,8,29,M18.46,204077,449743,1,2018,15/09/2018,16/09/2018,05/10/2018,1,17:18,20,man,adult,,Scout guard Black IR,88,summer
50,8,29,M18.46,204077,449743,2,2018,15/09/2018,18/09/2018,05/10/2018,3,08:16,20,man,adult,,Scout guard Black IR,,summer
50,8,29,M18.46,204077,449743,3,2018,15/09/2018,21/09/2018,05/10/2018,6,19:11,20,man,adult,,Scout guard Black IR,,summer
50,8,29,M18.46,204077,449743,4,2018,15/09/2018,24/09/2018,05/10/2018,9,04:37,20,man,adult,,Scout guard Black IR,,autumn
50,8,29,M18.46,204077,449743,5,2018,15/09/2018,25/09/2018,05/10/2018,10,19:39,20,vro,adult,,Scout guard Black IR,,autumn
50,8,29,M18.46,204077,449743,6,2018,15/09/2018,28/09/2018,05/10/2018,13,09:35,20,vro,adult,,Scout guard Black IR,,autumn
51,8,30,M18.47,204167,449989,1,2018,14/06/2018,15/07/2018,14/08/2018,31,06:26,61,man,adult,,Bushnell Throphycam HD,-,summer
Dieren,8,31,M18.48,204044,450029,,2018,17/06/2018,geen,02/07/2018,,,15,,,,Browning Strike Force,,summer
60,8,32,M18.49,203757,449844,1,2018,17/06/2018,25/06/2018,02/07/2018,7,19:15,15,?,?,,Bushnell Throphycam HD,10,summer
52,geen,33,M18.50,203876,449571,1,2018,27/06/2018,12/08/2018,14/08/2018,46,21:35,48,vro,adult,folding Mostela,Scout guard Two focus,26,summer
53,8,34,M18.51,204095,449912,1,2018,27/06/2018,04/07/2018,14/08/2018,7,07:44,48,man,adult,,Reconyx Ultrafire,36,summer
53,8,34,M18.51,204095,449912,2,2018,27/06/2018,21/07/2018,14/08/2018,24,21:47,48,vro,adult,,Reconyx Ultrafire,,summer
53,8,34,M18.51,204095,449912,3,2018,27/06/2018,29/07/2018,14/08/2018,32,10:11,48,vro,adult,,Reconyx Ultrafire,,summer
53,8,34,M18.51,204095,449912,4,2018,27/06/2018,30/07/2018,14/08/2018,33,06:55,48,vro,adult,,Reconyx Ultrafire,,summer
53,8,34,M18.51,204095,449912,5,2018,27/06/2018,05/08/2018,14/08/2018,39,11:12,48,vro,adult,,Reconyx Ultrafire,,summer
Dieren,8,35,M18.52,204299,450268,,2018,02/07/2018,geen,14/08/2018,,,43,,,,Browning Dark Ops,,summer
54,8,36,M18.53,204250,449820,1,2018,02/07/2018,01/08/2018,14/08/2018,30,07:14,43,vro,adult,,Primos Proof Generation 3,5,summer
55,10,37,M18.54,203823,449967,1,2018,20/07/2018,23/07/2018,14/08/2018,3,08:22,25,vro,adult,,Scout guard White Flash,-,summer
55,10,37,M18.54,203823,449967,2,2018,20/07/2018,23/07/2018,14/08/2018,3,08:23,25,man,adult,,Scout guard White Flash,,summer
55,10,37,M18.54,203823,449967,3,2018,20/07/2018,24/07/2018,15/08/2018,4,09:35,25,vro,adult,,Scout guard White Flash,,summer
55,10,37,M18.54,203823,449967,4,2018,20/07/2018,24/07/2018,15/08/2018,4,09:40,25,man,adult,,Scout guard White Flash,,summer
55,10,37,M18.54,203823,449967,5,2018,20/07/2018,31/07/2018,16/08/2018,11,06:15,25,man,adult,,Scout guard White Flash,,summer
55,10,37,M18.54,203823,449967,6,2018,20/07/2018,31/07/2018,16/08/2018,11,06:15,25,vro,adult,,Scout guard White Flash,,summer
55,10,37,M18.54,203823,449967,7,2018,20/07/2018,01/08/2018,17/08/2018,12,16:25,25,man,adult,,Scout guard White Flash,,summer
55,10,37,M18.54,203823,449967,8,2018,20/07/2018,02/08/2018,18/08/2018,13,06:32,25,man,adult,,Scout guard White Flash,,summer
55,10,37,M18.54,203823,449967,9,2018,20/07/2018,05/08/2018,19/08/2018,16,18:51,25,vro,adult,,Scout guard White Flash,,summer
55,10,37,M18.54,203823,449967,10,2018,20/07/2018,07/08/2018,20/08/2018,18,07:10,25,vro,adult,,Scout guard White Flash,,summer
55,10,37,M18.54,203823,449967,11,2018,20/07/2018,08/08/2018,21/08/2018,19,10:25,25,vro,adult,,Scout guard White Flash,,summer
55,10,37,M18.54,203823,449967,12,2018,20/07/2018,09/08/2018,22/08/2018,20,06:57,25,man,adult,,Scout guard White Flash,,summer
